model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.09823182711198428,0.0,0.011787819253438112,0.0,0.05893909626719057,0.0,0.831041257367387,0.0,0.0,0.42391304347826086,0.23550724637681159,0.34057971014492755,0.0,0.00536480686695279,3.567147316217367,27.0,0.0932,0.0509,0.0552,nwisnm.01.97302262,600.0,NM,0,7.4,100.0,37.0,900.0,970.0,830.0,24.0,31.0
0.0,0.14953271028037385,0.0,0.028037383177570093,0.0,0.09719626168224299,0.0,0.7252336448598131,0.0,0.0,0.45486725663716815,0.17699115044247787,0.368141592920354,0.0,0.008528784648187635,3.5758029407140737,48.0,0.0938,0.0535,0.0565,nwisnm.01.97302263,475.0,NM,0,7.6,160.0,64.0,1000.0,890.0,910.0,60.0,48.0
0.0,0.1358811040339703,0.0,0.025477707006369428,0.0,0.089171974522293,0.0,0.7494692144373674,0.0,0.0,0.5262054507337527,0.16352201257861634,0.31027253668763105,0.0,0.009650180940892643,3.503166443455004,75.0,0.0829,0.047099999999999996,0.0477,nwisnm.01.97302264,371.0,NM,0,7.6,130.0,50.0,710.0,810.0,890.0,45.0,49.0
0.0,0.2231404958677686,0.0,0.045454545454545456,0.0,0.14049586776859505,0.0,0.5909090909090909,0.0,0.0,0.4777327935222672,0.3441295546558705,0.17813765182186236,0.0,0.013986013986013983,3.237274130515004,150.0,0.04290000000000001,0.0242,0.0247,nwisnm.01.97302265,396.0,NM,1,7.4,110.0,41.0,210.0,330.0,420.0,44.0,39.0
0.0,0.22881355932203393,0.01694915254237288,0.05084745762711864,0.0,0.15254237288135594,0.0,0.5508474576271186,0.0,0.0,0.4813278008298755,0.33609958506224064,0.18257261410788383,0.0,0.019230769230769232,3.228282040975896,150.0,0.0416,0.0236,0.0241,nwisnm.01.97302266,382.0,NM,1,7.5,110.0,43.0,210.0,300.0,410.0,45.0,49.0
0.0,0.208955223880597,0.0,0.02736318407960199,0.0,0.1144278606965174,0.0,0.6492537313432837,0.0,0.0,0.5,0.11538461538461538,0.3846153846153846,0.0,0.00911854103343465,3.4173386940290684,130.0,0.0658,0.0402,0.039,nwisnm.01.97202303,225.0,NM,0,8.0,170.0,56.0,720.0,600.0,690.0,43.0,37.0
0.0,0.5409836065573771,0.0,0.00819672131147541,0.0,0.18032786885245905,0.0,0.27049180327868855,0.0,0.0,0.22480620155038758,0.2558139534883721,0.5193798449612403,0.0,0.014204545454545458,3.2463052471810143,147.0,0.035199999999999995,0.024399999999999998,0.0258,nwisnm.01.01101915,301.0,NM,1,7.3,263.0,53.2,639.0,151.0,204.0,6.28,29.9
0.0,0.10576923076923077,0.0,0.03846153846153846,0.0,0.03846153846153846,0.0,0.8173076923076923,0.0,0.0,0.2897196261682243,0.32710280373831774,0.38317757009345793,0.0,0.01876675603217158,3.1967113836290646,60.0,0.0373,0.020800000000000003,0.021400000000000002,nwisnm.01.99500395,332.0,NM,1,7.6,45.0,9.3,390.0,390.0,220.0,30.0,44.0
0.0,0.6483516483516484,0.0,0.005494505494505496,0.0,0.17582417582417587,0.0,0.17032967032967034,0.0,0.0002563445270443476,0.2768520892078954,0.25121763650346063,0.47167392976159955,0.0,0.019153418885271018,3.123163931864674,232.0,0.026105000000000003,0.018199999999999997,0.019505,nwisnm.01.01101916,232.0,NM,1,7.5,235.0,39.5,441.0,72.2,191.0,5.48,28.0
0.0,0.543859649122807,0.0,0.013157894736842106,0.0,0.15789473684210528,0.0,0.2850877192982456,0.0,0.0,0.9304347826086957,0.03478260869565218,0.03478260869565218,0.0,0.010582010582010585,3.1255071599404283,464.0,0.03779999999999999,0.022799999999999997,0.022999999999999996,nwisnm.01.98500827,40.0,NM,1,7.5,250.0,43.0,37.0,150.0,760.0,12.0,22.0
